ALL351A1,2018-10-24
ALL351A2,2018-10-24
ALL351A3,2018-10-24
ALL351A4,2018-10-26
ALL351A5,2018-10-26
ALL351A6,2018-10-26
ALL351A7,2018-10-26
ALL351A8,2018-10-26
ALL351A9,2018-10-26
ALL351A10,2018-10-26
ALL351A11,2018-10-26
ALL351A12,2018-10-26
ALL351A13,2018-10-26
ALL351A14,2018-10-31
ALL351A15,2018-10-31
ALL351A16,2018-10-31
ALL351A17,2018-11-06
ALL351A18,2018-11-06
ALL351A19,2018-11-06
ALL351A20,2018-11-06
ALL351A21,2018-11-06
ALL351A22,2018-11-06
ALL351A23,2018-11-06
ALL351A24,2018-11-06
ALL354A1,2019-01-11
ALL354A2,2019-01-11
ALL354A3,2019-01-11
ALL354A4,2019-01-11
ALL354A5,2019-01-11
ALL354A6,2019-01-11
ALL354A7,2019-01-11
ALL354A8,2019-01-11
ALL354A9,2019-01-11
ALL354A10,2019-01-11
ALL354A11,2019-01-11
ALL354A12,2019-01-11
ALL354A13,2019-01-11
ALL354A14,2019-01-11
ALL354A15,2019-01-11
ALL354A16,2019-01-11
ALL354A17,2019-01-17
ALL354A18,2019-01-17
ALL354A19,2019-01-17
ALL354A20,2019-01-17
ALL354A21,2019-01-17
ALL354A22,2019-01-17
ALL354A23,2019-01-17
ALL354A24,2019-01-17
ALL354A25,2019-02-04
ALL354A26,2019-02-04
ALL354A27,2019-02-04
ALL354A28,2019-02-04
ALL354A29,2019-02-04
ALL354A30,2019-02-04
ALL354A31,2019-02-04
ALL354A32,2019-02-04
ALL354A33,2019-02-14
ALL354A34,2019-02-14
ALL354A35,2019-02-14
ALL354A36,2019-02-14
ALL354A41,2019-02-14
ALL354A42,2019-02-14
ALL354A43,2019-02-14
ALL354A44,2019-03-05
ALL354A45,2019-03-05
ALL354A46,2019-03-05
ALL354A47,2019-03-05
ALL354A48,2019-03-05
ALL354A49,2019-03-05
ALL354A50,2019-03-25
ALL354A51,2019-03-25
ALL354A52,2019-03-25
ALL354A53,2019-03-25
ALL354A54,2019-03-25
ALL354A55,2019-03-25
ALL354A56,2019-03-25
ALL354A57,2019-03-25
ALL354A58,2019-03-25
ALL354A59,2019-03-25
ALL354A60,2019-03-25
ALL354A61,2019-03-25
ALL354A62,2019-03-25
ALL354A63,2019-03-25
ALL354A64,2019-03-25
ALL354A65,2019-03-25
ALL354A66,2019-04-10
ALL354A67,2019-04-10
ALL354A68,2019-04-10
ALL354A69,2019-04-10
ALL354A70,2019-04-10
ALL354A71,2019-04-10
ALL354A72,2019-04-10
ALL354A73,2019-04-10
ALL354A74,2019-04-10
ALL354A75,2019-04-10
ALL354A76,2019-04-10
ALL354A77,2019-04-10
ALL354A78,2019-04-15
ALL354A79,2019-04-15
ALL354A80,2019-04-15
ALL354A81,2019-04-15
ALL354A82,2019-04-15
ALL354A83,2019-04-15
ALL354A84,2019-04-15
ALL354A85,2019-04-15
ALL354A86,2019-04-15
ALL354A87,2019-04-15
ALL354A88,2019-04-15
ALL354A89,2019-04-26
ALL354A90,2019-04-26
ALL354A91,2019-04-26
ALL354A92,2019-04-26
ALL354A93,2019-04-26
ALL354A94,2019-04-26
ALL354A95,2019-04-26
ALL354A96,2019-04-26
ALL354A97,2019-04-26
ALL354A98,2019-04-26
ALL354A99,2019-04-26
ALL354A100,2019-04-26
ALL354A101,2019-04-26
ALL354A102,2019-05-20
ALL354A103,2019-05-20
ALL354A104,2019-05-20
ALL354A105,2019-05-20
ALL354A106,2019-05-20
ALL354A107,2019-05-20
ALL354A108,2019-05-20
ALL354A109,2019-05-20
ALL354A110,2019-05-20
ALL354A111,2019-05-20
ALL354A112,2019-05-20
ALL354A113,2019-05-20
ALL354A114,2019-05-20
ALL354A115,2019-05-24
ALL354A116,2019-05-24
ALL354A117,2019-05-24
ALL354A118,2019-05-24
ALL354A119,2019-05-24
ALL354A120,2019-05-27
ALL354A130,2019-06-03
ALL354A131,2019-06-03
ALL354A132,2019-06-03
ALL354A133,2019-06-10
ALL354A134,2019-06-10
ALL354A135,2019-06-10
ALL354A136,2019-06-10
ALL354A137,2019-06-10
ALL354A138,2019-06-10
ALL354A139,2019-06-13
ALL354A140,2019-06-13
ALL354A141,2019-06-13
ALL354A142,2019-06-13
ALL354A143,2019-06-13
ALL354A144,2019-06-13
ALL354A145,2019-06-13
ALL354A146,2019-06-13
ALL354A147,2019-06-13
ALL354A148,2019-06-13
ALL354A149,2019-06-17
ALL354A150,2019-06-17
ALL354A151,2019-06-17
ALL354A152,2019-06-17
ALL354A153,2019-06-17
ALL354A154,2019-06-17
ALL354A155,2019-06-24
ALL354A156,2019-06-24
ALL354A157,2019-06-24
ALL354A158,2019-06-28
ALL354A159,2019-06-28
ALL354A160,2019-06-28
ALL354A161,2019-06-28
ALL354A162,2019-06-28
ALL354A163,2019-06-28
ALL354A164,2019-06-28
ALL354A165,2019-06-28
ALL354A166,2019-06-28
ALL354A167,2019-06-28
ALL354A168,2019-06-28
ALL354A169,2019-06-28
ALL354A170,2019-06-28
ALL354A171,2019-06-28
ALL354A172,2019-06-28
ALL354A173,2019-06-28
ALL354A174,2019-07-01
ALL354A175,2019-07-09
ALL354A176,2019-07-18
ALL354A177,2019-07-18
ALL354A178,2019-07-18
ALL354A179,2019-07-18
ALL354A180,2019-07-18
ALL354A181,2019-07-18
ALL354A182,2019-07-18
ALL354A183,2019-07-29
ALL354A184,2019-07-29
ALL354A185,2019-08-05
ALL354A186,2019-08-05
